review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R4BQHA0TLLJNN,B0D4SX9RC6,5.0 out of 5 stars The best Speaker I have ever bought in my life!,Leox,5,"I really like the new Beats Pill 2024 speaker. The sound quality is amazing with great bass and clear vocals. It's small, stylish, and easy to carry around, which is perfect for when I'm on the go.The battery lasts a long time, even with heavy use, and connecting it to my devices with Bluetooth is super easy. The design looks good and fits well with any room or setup.The only downside is that there isn't an app to control the speaker. It would be nice to have an app to adjust settings, check battery life, and manage connections. Even without this, the Beats Pill 2024 is a fantastic speaker that I highly recommend.","Reviewed in the United States July 11, 2024",AEUCX7EIPTMCFN4OJBZHL2OYSVKQ,1,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R1ZHHB1YMHA1IF,B0D4SX9RC6,5.0 out of 5 stars Get a pair! You won’t regret it.,I D Yelle,5,"The Beats Pill (2024) has made a triumphant comeback. Here’s what stands out:Sound Quality: The audio is crystal clear, with balanced mids and highs. The bass is punchy yet smooth, making it great for various music genres.Design: The new Pill features a stylish, everything-proof design.Connectivity: Amplify and Stereo modes allow pairing two Pill units for stereo music.Overall, the Beats Pill (2024) is worth the wait.I own several portable speakers, Bose, JBL, and these are my favorite.","Reviewed in the United States June 29, 2024",AHO3EI5OGMXQFUMRJBH665YZXMBQ,1,17,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R172ODWJHF6PC5,B0D4SX9RC6,5.0 out of 5 stars Premium portable speaker,John S.,5,"My original Wonderboom finally gave up so I bought the Beats Pill. I was blown away by the balanced sound for all genre of music. Bass is well balanced with Treble and does not try to be more than what a small speaker can do. Very impressed, and highly recommend this speaker.","Reviewed in the United States July 28, 2024",AFJKZEYD2VZSI2NO3JZNMA4XX4RA,1,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R102ZHXOOGDR18,B0D4SX9RC6,5.0 out of 5 stars Amazing sound for the size,Maxy D,5,"This 2 pound speaker sounds insane for its size. It’s almost as loud as my jbl Xtreme 2. At lower volumes the music is balanced and you can hear details in the notes that definitely sound high-fi and high end. Well worth 150, better yet buy two for 300.","Reviewed in the United States July 19, 2024",AHNNPIFNRYHXRAOIN2G7WIJQDWEA,1,1,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R2GXSMDM76M1NO,B0D4SX9RC6,5.0 out of 5 stars Amazing sound quality and worth the money,Arjun Mohan Kumar,5,I have been using the beats pill 2024 for the last couple of days and it has been a really good sounding speaker. It outclasses other speakers in the price range and even few of the larger party speakers. The volume of this speaker is mind blowing though it might be bit harsh in a closed room. Bass is absolutely great and overall the speaker is very balanced. It is worth every penny.,"Reviewed in the United States June 30, 2024",AFDIEYKPJMB43TMN4ALTGPWB5GUQ,1,1,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R18C9SGI40K03G,B0D4SX9RC6,5.0 out of 5 stars Best small portable speaker,djrau,5,"It sounds better than a jbl flip6, it has excellent sound quality. It's just perfect","Reviewed in the United States July 14, 2024",AHFG7EXOHMFXWXHIFYSVJKIIW6ZA,1,0,Color: Champagne GoldStyle: PillPattern: Without AppleCare+
R2EVRTXO9M1YF7,B0D4SX9RC6,4.0 out of 5 stars Is it the JBL killer?,Tommy,4,"I bought this because it was on sale, and I always wanted a beats pill.I am a JBL user, and firmly stand by their quality and sound.Does this compete with Flip 6? Absolutely.Does it compete with Charge 4 or 5? Definitely not.Heres whySound: i purchased the Black Pill, right out of the box it is versatile in the sense it matches anything you have. I could’ve went with Champagne as well and would’ve also fit. I compared to flip 6 right away, it is Brighter, crisper and deeper bass at 50% volume and lower.However at above 50% the bass becomes muddy, it has this weird flutter sound to it. The Flip 6 Still Sounds great at 50% and lower just it sounds a little quieter and less vibrant compared to the Pill.The Charge 4 and 5 are bigger speakers and has bigger woofers.The pill is definitely very portable, great performance and most definitely great value for the money.Maybe later down the road i will purchase another for stereo sound bars for our TV.","Reviewed in the United States July 23, 2024",AHAMVBSECCNUJMQV6A3BO3A3HNMA,1,3,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R3EOM3PFJ90D5Y,B0D4SX9RC6,"3.0 out of 5 stars Good design, but bass distortion",Daniel,3,"The new pill looks awesome, and built extremely well... The tone when pairing emits a very low end bass note that gets you excited for the performance expected from Beats... However, with this being said, the performance is only half of what I hoped... the programmed sound processing limits using an external eq as boosted bass significantly drops the volume at each note, which is sad because pill doesn't have an eq in its app at all.... the sound you get between 40 percent and lower is where this shines, mids are clear and neutral, highs are clear and crisp without any harshness, and there is a slight amount of low end at lower volume, but past halfway volume and the bass distorts and the programming takes over to then roll off the bass and then it's mostly just mids and highs.... They seriously could've added a passive radiator to the back of this thing and then would have something here.... All this, and the package arrived with the box already opened.... not too excited about my purchase....","Reviewed in the United States July 2, 2024",AHAIN2MT2BFGIAXCVJCMTI6NEDGA,1,3,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R1BHCCLK5GZ5VZ,B0D4SX9RC6,5.0 out of 5 stars Beats Pill,Gregory Stratman,5,"I love the size, weight and quality of my Pill! It delivers good, deep base and enhances my listening beautifully! I recommend this speaker to anyone who loves music and true sound!!","Reviewed in the United States August 2, 2024",AHCXUEC2FLLJ3S6F762OSBZJRDPA,1,0,Color: Matte BlackStyle: PillPattern: Without AppleCare+
R3M5VB492MOE7C,B0D4SX9RC6,5.0 out of 5 stars New Beats Pill is awesome!,Albert Gatto,5,"This speaker has incredible sound and bass for its size. In fact it sounds much better than my Sonos Roam 2 and JBL Flip 6, which the latter I’ve always considered a good sounding speaker. The microphone is a great addition for calls. You won’t be disappointed with this speaker. Thinking about buying another to pair in stereo. I wish they had an app for this Beats speaker with EQ. The Pill+ app doesn’t seem tonairj with the new Pill.Update: purchased another to pair in stereo. Incredible sound!","Reviewed in the United States June 29, 2024",AHFQM5SAW3MYYQ4D6L7RUL6RMFNQ,1,10,Color: Matte BlackStyle: PillPattern: Without AppleCare+
